S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
,,,,,,,,
1,01-Jan-2017 - 00:00,02-Jan-2017 - 00:00,,,,,,
2,02-Jan-2017 - 00:00,03-Jan-2017 - 00:00,,4.36,12.13,437.03,57.71,0.56
3,03-Jan-2017 - 00:00,04-Jan-2017 - 00:00,,83.24,71.95,311.35,93.51,1.24
4,04-Jan-2017 - 00:00,05-Jan-2017 - 00:00,,,,,,
5,05-Jan-2017 - 00:00,06-Jan-2017 - 00:00,,,,,,
6,06-Jan-2017 - 00:00,07-Jan-2017 - 00:00,,,,,,
7,07-Jan-2017 - 00:00,08-Jan-2017 - 00:00,,,,,,
8,08-Jan-2017 - 00:00,09-Jan-2017 - 00:00,,,,,,
9,09-Jan-2017 - 00:00,10-Jan-2017 - 00:00,,,,,,
10,10-Jan-2017 - 00:00,11-Jan-2017 - 00:00,,12.17,9.69,129.07,,0.21
11,11-Jan-2017 - 00:00,12-Jan-2017 - 00:00,,34.92,15.25,332.5,,
12,12-Jan-2017 - 00:00,13-Jan-2017 - 00:00,,,,,,
13,13-Jan-2017 - 00:00,14-Jan-2017 - 00:00,,103.77,12.24,137.68,35.71,0.32
14,14-Jan-2017 - 00:00,15-Jan-2017 - 00:00,,85.59,13.85,229.79,50.69,0.74
15,15-Jan-2017 - 00:00,16-Jan-2017 - 00:00,,81.81,15.43,273.73,51.32,0.84
16,16-Jan-2017 - 00:00,17-Jan-2017 - 00:00,,61.81,16.48,346.97,61.28,1.48
17,17-Jan-2017 - 00:00,18-Jan-2017 - 00:00,,59.63,26.9,411.95,71.66,1.67
18,18-Jan-2017 - 00:00,19-Jan-2017 - 00:00,,78.4,12.92,257.15,14.36,0.93
19,19-Jan-2017 - 00:00,20-Jan-2017 - 00:00,,58.01,11.59,274.43,31.58,0.98
20,20-Jan-2017 - 00:00,21-Jan-2017 - 00:00,,41.21,14.12,296.41,44.76,1.24
21,21-Jan-2017 - 00:00,22-Jan-2017 - 00:00,,53.49,11.1,177.14,34.19,0.53
22,22-Jan-2017 - 00:00,23-Jan-2017 - 00:00,,,,,,
23,23-Jan-2017 - 00:00,24-Jan-2017 - 00:00,,52.13,14.16,228.71,32.17,1.66
24,24-Jan-2017 - 00:00,25-Jan-2017 - 00:00,,44.97,15.61,283.43,52.84,0.83
25,25-Jan-2017 - 00:00,26-Jan-2017 - 00:00,,17.58,13.52,284.24,8.28,
26,26-Jan-2017 - 00:00,27-Jan-2017 - 00:00,,,,,,
27,27-Jan-2017 - 00:00,28-Jan-2017 - 00:00,,,,,,
28,28-Jan-2017 - 00:00,29-Jan-2017 - 00:00,,,,,,
29,29-Jan-2017 - 00:00,30-Jan-2017 - 00:00,,,,,,
30,30-Jan-2017 - 00:00,31-Jan-2017 - 00:00,,,,,,
31,31-Jan-2017 - 00:00,01-Feb-2017 - 00:00,,,,,,
32,01-Feb-2017 - 00:00,02-Feb-2017 - 00:00,,68.99,25.35,283.52,72.87,2.19
33,02-Feb-2017 - 00:00,03-Feb-2017 - 00:00,,47.43,12.23,281.41,45.59,1.02
34,03-Feb-2017 - 00:00,04-Feb-2017 - 00:00,,21.9,14.32,280.34,58.11,0.92
35,04-Feb-2017 - 00:00,05-Feb-2017 - 00:00,,15.78,14.56,290.29,57.53,1.56
36,05-Feb-2017 - 00:00,06-Feb-2017 - 00:00,,16.74,13.86,296.52,68.42,1.76
37,06-Feb-2017 - 00:00,07-Feb-2017 - 00:00,,18.95,21.13,371.92,94.9,3.84
38,07-Feb-2017 - 00:00,08-Feb-2017 - 00:00,,17.25,16.16,315.71,66.7,1.34
39,08-Feb-2017 - 00:00,09-Feb-2017 - 00:00,,18.3,16.54,266.31,70.33,0.77
40,09-Feb-2017 - 00:00,10-Feb-2017 - 00:00,,19.25,19.25,229.99,87.49,1.05
41,10-Feb-2017 - 00:00,11-Feb-2017 - 00:00,,23.3,16.31,305.66,91,0.83
42,11-Feb-2017 - 00:00,12-Feb-2017 - 00:00,,34.49,12.97,197.93,47.3,0.31
43,12-Feb-2017 - 00:00,13-Feb-2017 - 00:00,,23.02,12.92,252.37,62.37,1.06
44,13-Feb-2017 - 00:00,14-Feb-2017 - 00:00,,27.05,22.02,392.45,85.6,1.07
45,14-Feb-2017 - 00:00,15-Feb-2017 - 00:00,,33.6,12.94,298.03,106.64,0.51
46,15-Feb-2017 - 00:00,16-Feb-2017 - 00:00,,25.56,23.66,260.5,,0.61
47,16-Feb-2017 - 00:00,17-Feb-2017 - 00:00,,28.09,55.78,258.27,72.85,1.03
48,17-Feb-2017 - 00:00,18-Feb-2017 - 00:00,,34.29,13.09,243.24,46.08,0.38
49,18-Feb-2017 - 00:00,19-Feb-2017 - 00:00,,30.24,11.45,295.79,68.7,0.46
50,19-Feb-2017 - 00:00,20-Feb-2017 - 00:00,,17.91,14.95,300,69.38,0.81
51,20-Feb-2017 - 00:00,21-Feb-2017 - 00:00,,20.71,19.93,358.56,,0.82
52,21-Feb-2017 - 00:00,22-Feb-2017 - 00:00,,25.11,16.26,290.82,,0.21
53,22-Feb-2017 - 00:00,23-Feb-2017 - 00:00,,34.68,18.39,233.9,,0.65
54,23-Feb-2017 - 00:00,24-Feb-2017 - 00:00,,38.84,12.89,201.05,,0.13
55,24-Feb-2017 - 00:00,25-Feb-2017 - 00:00,,27.93,16.81,236.64,,0.45
56,25-Feb-2017 - 00:00,26-Feb-2017 - 00:00,,20.69,15.34,258.94,,0.72
57,26-Feb-2017 - 00:00,27-Feb-2017 - 00:00,,20.35,18.05,340.67,,1.06
58,27-Feb-2017 - 00:00,28-Feb-2017 - 00:00,,32.79,18.15,290.03,265.59,0.51
59,28-Feb-2017 - 00:00,01-Mar-2017 - 00:00,,18.03,17.19,316.26,101.84,2.61
60,01-Mar-2017 - 00:00,02-Mar-2017 - 00:00,,24.05,18.83,415.94,73.5,1.62
61,02-Mar-2017 - 00:00,03-Mar-2017 - 00:00,,33.12,22.89,283.88,59.04,0.45
62,03-Mar-2017 - 00:00,04-Mar-2017 - 00:00,,26.68,23.3,296.76,61,0.8
63,04-Mar-2017 - 00:00,05-Mar-2017 - 00:00,,33.19,14.94,194.51,42.37,0.48
64,05-Mar-2017 - 00:00,06-Mar-2017 - 00:00,,22.98,14.99,220.91,44.56,0.44
65,06-Mar-2017 - 00:00,07-Mar-2017 - 00:00,,28.2,18.9,233.7,48.31,0.54
66,07-Mar-2017 - 00:00,08-Mar-2017 - 00:00,,32.3,14.97,218.18,43.71,0.54
67,08-Mar-2017 - 00:00,09-Mar-2017 - 00:00,,21.91,15.95,283.05,42.28,0.6
68,09-Mar-2017 - 00:00,10-Mar-2017 - 00:00,,16.41,15.78,191.8,40.15,0.56
69,10-Mar-2017 - 00:00,11-Mar-2017 - 00:00,,17.44,10.94,154.14,34.14,0.8
70,11-Mar-2017 - 00:00,12-Mar-2017 - 00:00,,22.64,14.68,200.41,36.96,0.37
71,12-Mar-2017 - 00:00,13-Mar-2017 - 00:00,,27.74,13.15,115.5,29.92,0.26
72,13-Mar-2017 - 00:00,14-Mar-2017 - 00:00,,32.55,16.39,118.54,38.59,0.42
73,14-Mar-2017 - 00:00,15-Mar-2017 - 00:00,,29.56,16.27,,43.05,0.61
74,15-Mar-2017 - 00:00,16-Mar-2017 - 00:00,,28.75,15.5,,36.7,0.56
75,16-Mar-2017 - 00:00,17-Mar-2017 - 00:00,,22.59,14.79,,39.16,0.57
76,17-Mar-2017 - 00:00,18-Mar-2017 - 00:00,,,,,,
77,18-Mar-2017 - 00:00,19-Mar-2017 - 00:00,,,,,,
78,19-Mar-2017 - 00:00,20-Mar-2017 - 00:00,,,,,,
79,20-Mar-2017 - 00:00,21-Mar-2017 - 00:00,,38.91,18.22,189.44,23.26,0.78
80,21-Mar-2017 - 00:00,22-Mar-2017 - 00:00,,30.5,16.23,151.43,27.19,0.34
81,22-Mar-2017 - 00:00,23-Mar-2017 - 00:00,,32.38,15.74,183.03,35.39,0.69
82,23-Mar-2017 - 00:00,24-Mar-2017 - 00:00,,19.6,15.61,159.23,21.33,0.39
83,24-Mar-2017 - 00:00,25-Mar-2017 - 00:00,,,,,,
84,25-Mar-2017 - 00:00,26-Mar-2017 - 00:00,,,,,,
85,26-Mar-2017 - 00:00,27-Mar-2017 - 00:00,,,,,,
86,27-Mar-2017 - 00:00,28-Mar-2017 - 00:00,,,,,,
87,28-Mar-2017 - 00:00,29-Mar-2017 - 00:00,,,,,,
88,29-Mar-2017 - 00:00,30-Mar-2017 - 00:00,,32.17,18.79,155.1,32.46,0.38
89,30-Mar-2017 - 00:00,31-Mar-2017 - 00:00,,25.68,14.33,168.9,35.29,0.41
90,31-Mar-2017 - 00:00,01-Apr-2017 - 00:00,,28.04,15.7,143.22,40.44,0.59
91,01-Apr-2017 - 00:00,02-Apr-2017 - 00:00,,23.83,26.09,134.39,39.32,2.88
92,02-Apr-2017 - 00:00,03-Apr-2017 - 00:00,,,,,,
93,03-Apr-2017 - 00:00,04-Apr-2017 - 00:00,,,,,,
94,04-Apr-2017 - 00:00,05-Apr-2017 - 00:00,,42.85,11.11,107.14,30.23,0.36
95,05-Apr-2017 - 00:00,06-Apr-2017 - 00:00,,20.6,11.49,93.97,30.48,0.33
96,06-Apr-2017 - 00:00,07-Apr-2017 - 00:00,,16.74,9.61,109.24,37.39,0.3
97,07-Apr-2017 - 00:00,08-Apr-2017 - 00:00,,8.79,0.99,127.16,29.09,0.91
98,08-Apr-2017 - 00:00,09-Apr-2017 - 00:00,,,,,,
99,09-Apr-2017 - 00:00,10-Apr-2017 - 00:00,,,,,,
,,,,,,,,
101,11-Apr-2017 - 00:00,12-Apr-2017 - 00:00,,21.83,23.63,208.92,59.94,0.67
102,12-Apr-2017 - 00:00,13-Apr-2017 - 00:00,,31.76,16.04,165.12,43.26,0.43
103,13-Apr-2017 - 00:00,14-Apr-2017 - 00:00,,28.25,12.4,131.64,38.3,0.56
104,14-Apr-2017 - 00:00,15-Apr-2017 - 00:00,,28.66,15.23,119.48,29.69,0.32
105,15-Apr-2017 - 00:00,16-Apr-2017 - 00:00,,30.88,15.99,119.18,30.83,0.23
106,16-Apr-2017 - 00:00,17-Apr-2017 - 00:00,,23.95,14.12,86.2,28.14,0.26
107,17-Apr-2017 - 00:00,18-Apr-2017 - 00:00,,31.01,13.14,96.21,33.78,1.66
108,18-Apr-2017 - 00:00,19-Apr-2017 - 00:00,,21.6,11.05,105.25,29.42,0.37
109,19-Apr-2017 - 00:00,20-Apr-2017 - 00:00,,26.18,11.22,126.19,35.4,1.11
110,20-Apr-2017 - 00:00,21-Apr-2017 - 00:00,,30.81,12.6,101.09,31.92,0.51
111,21-Apr-2017 - 00:00,22-Apr-2017 - 00:00,,26.16,11.97,120.57,36.62,0.44
112,22-Apr-2017 - 00:00,23-Apr-2017 - 00:00,,26.67,11.19,93.38,27.44,0.38
113,23-Apr-2017 - 00:00,24-Apr-2017 - 00:00,,25.82,14.35,81.32,31.88,0.37
114,24-Apr-2017 - 00:00,25-Apr-2017 - 00:00,,,,,,
115,25-Apr-2017 - 00:00,26-Apr-2017 - 00:00,,,,,,
116,26-Apr-2017 - 00:00,27-Apr-2017 - 00:00,,,,,,
117,27-Apr-2017 - 00:00,28-Apr-2017 - 00:00,,36.94,36.43,187.38,48.13,0.75
118,28-Apr-2017 - 00:00,29-Apr-2017 - 00:00,,30.03,15.82,215.03,48.72,0.73
119,29-Apr-2017 - 00:00,30-Apr-2017 - 00:00,,28.29,7.51,159.34,45.92,2.28
120,30-Apr-2017 - 00:00,01-May-2017 - 00:00,,8.55,7.36,125.76,42.98,0.99
121,01-May-2017 - 00:00,02-May-2017 - 00:00,,,,,,
122,02-May-2017 - 00:00,03-May-2017 - 00:00,,54.97,10.14,81.2,48.09,0.84
123,03-May-2017 - 00:00,04-May-2017 - 00:00,,35.78,8.71,150.9,43.41,1.17
124,04-May-2017 - 00:00,05-May-2017 - 00:00,,33.07,12.27,166.92,62.48,0.7
125,05-May-2017 - 00:00,06-May-2017 - 00:00,,28.98,14.5,156.78,43.69,0.52
126,06-May-2017 - 00:00,07-May-2017 - 00:00,,28.2,5.35,138.28,48.27,0.46
127,07-May-2017 - 00:00,08-May-2017 - 00:00,,43.36,15.57,149.77,47.19,0.54
128,08-May-2017 - 00:00,09-May-2017 - 00:00,,30.27,9.78,121.2,45.64,0.48
129,09-May-2017 - 00:00,10-May-2017 - 00:00,,38.29,11.98,82.44,43.55,0.45
130,10-May-2017 - 00:00,11-May-2017 - 00:00,,37.7,12.54,99.04,44.67,0.51
131,11-May-2017 - 00:00,12-May-2017 - 00:00,,28.68,13.12,151.98,37.81,0.36
132,12-May-2017 - 00:00,13-May-2017 - 00:00,,29.98,21.4,109.42,41.76,0.49
133,13-May-2017 - 00:00,14-May-2017 - 00:00,,24.97,20.88,141.12,40.2,0.61
134,14-May-2017 - 00:00,15-May-2017 - 00:00,,42.59,14.64,172.01,41.11,0.49
135,15-May-2017 - 00:00,16-May-2017 - 00:00,,28.79,8.82,128.83,34.1,0.52
136,16-May-2017 - 00:00,17-May-2017 - 00:00,,41.35,12.93,104.39,36.48,0.44
137,17-May-2017 - 00:00,18-May-2017 - 00:00,,32.13,10.66,96.04,33.92,0.62
138,18-May-2017 - 00:00,19-May-2017 - 00:00,,25.18,12.86,190.13,40.33,0.59
