S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
,,,,,,,,
1,01-Jan-2017 - 00:00,02-Jan-2017 - 00:00,,,,,,
2,02-Jan-2017 - 00:00,03-Jan-2017 - 00:00,,,,,,
3,03-Jan-2017 - 00:00,04-Jan-2017 - 00:00,,,,,,
4,04-Jan-2017 - 00:00,05-Jan-2017 - 00:00,,,,,,
5,05-Jan-2017 - 00:00,06-Jan-2017 - 00:00,,,,,,
6,06-Jan-2017 - 00:00,07-Jan-2017 - 00:00,,,,,,
7,07-Jan-2017 - 00:00,08-Jan-2017 - 00:00,,,,,,
8,08-Jan-2017 - 00:00,09-Jan-2017 - 00:00,,,,,,
9,09-Jan-2017 - 00:00,10-Jan-2017 - 00:00,,,,,,
10,10-Jan-2017 - 00:00,11-Jan-2017 - 00:00,,,,,,
11,11-Jan-2017 - 00:00,12-Jan-2017 - 00:00,,,,,,
12,12-Jan-2017 - 00:00,13-Jan-2017 - 00:00,,,,,,
13,13-Jan-2017 - 00:00,14-Jan-2017 - 00:00,,,,,,
14,14-Jan-2017 - 00:00,15-Jan-2017 - 00:00,,,,,,
15,15-Jan-2017 - 00:00,16-Jan-2017 - 00:00,,,,,,
16,16-Jan-2017 - 00:00,17-Jan-2017 - 00:00,,,,,,
17,17-Jan-2017 - 00:00,18-Jan-2017 - 00:00,,,,,,
18,18-Jan-2017 - 00:00,19-Jan-2017 - 00:00,,,,,,
19,19-Jan-2017 - 00:00,20-Jan-2017 - 00:00,,,,,,
20,20-Jan-2017 - 00:00,21-Jan-2017 - 00:00,,,,,,
21,21-Jan-2017 - 00:00,22-Jan-2017 - 00:00,,,,,,
22,22-Jan-2017 - 00:00,23-Jan-2017 - 00:00,,,,,,
23,23-Jan-2017 - 00:00,24-Jan-2017 - 00:00,,,,,,
24,24-Jan-2017 - 00:00,25-Jan-2017 - 00:00,,,,,,
25,25-Jan-2017 - 00:00,26-Jan-2017 - 00:00,,,,,,
26,26-Jan-2017 - 00:00,27-Jan-2017 - 00:00,,,,,,
27,27-Jan-2017 - 00:00,28-Jan-2017 - 00:00,,,,,,
28,28-Jan-2017 - 00:00,29-Jan-2017 - 00:00,,,,,,
29,29-Jan-2017 - 00:00,30-Jan-2017 - 00:00,,,,,,
30,30-Jan-2017 - 00:00,31-Jan-2017 - 00:00,,28.84,34.97,132.88,55.46,0.59
31,31-Jan-2017 - 00:00,01-Feb-2017 - 00:00,,21.05,19.96,130.55,37.02,0.64
32,01-Feb-2017 - 00:00,02-Feb-2017 - 00:00,,20.0,27.16,148.46,15.84,0.89
33,02-Feb-2017 - 00:00,03-Feb-2017 - 00:00,,24.52,14.19,198.19,38.02,0.88
34,03-Feb-2017 - 00:00,04-Feb-2017 - 00:00,,22.26,17.67,181.87,54.62,0.75
35,04-Feb-2017 - 00:00,05-Feb-2017 - 00:00,,23.55,18.04,196.26,60.31,0.77
36,05-Feb-2017 - 00:00,06-Feb-2017 - 00:00,,21.81,18.1,171.3,48.98,0.78
37,06-Feb-2017 - 00:00,07-Feb-2017 - 00:00,,28.11,31.19,173.85,53.73,0.8
38,07-Feb-2017 - 00:00,08-Feb-2017 - 00:00,,114.32,19.57,172.48,51.42,0.81
39,08-Feb-2017 - 00:00,09-Feb-2017 - 00:00,,25.38,22.5,180.35,46.02,0.8
40,09-Feb-2017 - 00:00,10-Feb-2017 - 00:00,,166.01,39.99,192.32,48.43,0.8
41,10-Feb-2017 - 00:00,11-Feb-2017 - 00:00,,43.56,47.0,158.52,40.45,0.74
42,11-Feb-2017 - 00:00,12-Feb-2017 - 00:00,,102.3,25.77,174.01,44.47,0.81
43,12-Feb-2017 - 00:00,13-Feb-2017 - 00:00,,43.08,24.6,201.24,25.18,0.88
44,13-Feb-2017 - 00:00,14-Feb-2017 - 00:00,,45.42,33.93,223.51,57.98,1.02
45,14-Feb-2017 - 00:00,15-Feb-2017 - 00:00,,28.18,32.87,175.14,51.11,0.85
46,15-Feb-2017 - 00:00,16-Feb-2017 - 00:00,,29.54,19.21,199.49,48.13,0.85
47,16-Feb-2017 - 00:00,17-Feb-2017 - 00:00,,26.96,54.58,164.69,50.95,0.76
48,17-Feb-2017 - 00:00,18-Feb-2017 - 00:00,,24.41,25.19,169.41,43.48,0.77
49,18-Feb-2017 - 00:00,19-Feb-2017 - 00:00,,24.42,26.59,125.35,30.06,0.6
50,19-Feb-2017 - 00:00,20-Feb-2017 - 00:00,,24.9,25.38,115.51,23.8,0.56
51,20-Feb-2017 - 00:00,21-Feb-2017 - 00:00,,32.22,43.46,116.16,24.14,0.59
52,21-Feb-2017 - 00:00,22-Feb-2017 - 00:00,,27.95,20.25,79.52,15.95,0.53
53,22-Feb-2017 - 00:00,23-Feb-2017 - 00:00,,26.38,15.0,69.43,15.84,0.45
54,23-Feb-2017 - 00:00,24-Feb-2017 - 00:00,,32.65,24.28,132.19,39.54,0.59
55,24-Feb-2017 - 00:00,25-Feb-2017 - 00:00,,30.98,25.22,154.73,50.61,0.7
56,25-Feb-2017 - 00:00,26-Feb-2017 - 00:00,,29.89,22.54,168.38,50.27,0.71
57,26-Feb-2017 - 00:00,27-Feb-2017 - 00:00,,37.88,23.14,125.71,36.65,0.6
58,27-Feb-2017 - 00:00,28-Feb-2017 - 00:00,,27.95,56.2,100.02,34.39,0.69
59,28-Feb-2017 - 00:00,01-Mar-2017 - 00:00,,32.99,35.67,134.26,40.53,0.74
60,01-Mar-2017 - 00:00,02-Mar-2017 - 00:00,,32.3,32.07,114.36,34.67,0.65
61,02-Mar-2017 - 00:00,03-Mar-2017 - 00:00,,29.5,34.69,119.92,29.19,0.62
62,03-Mar-2017 - 00:00,04-Mar-2017 - 00:00,,33.06,38.36,95.05,28.45,0.54
63,04-Mar-2017 - 00:00,05-Mar-2017 - 00:00,,29.17,24.02,80.95,27.25,0.57
64,05-Mar-2017 - 00:00,06-Mar-2017 - 00:00,,,,,,
65,06-Mar-2017 - 00:00,07-Mar-2017 - 00:00,,37.26,19.99,133.1,44.74,0.74
66,07-Mar-2017 - 00:00,08-Mar-2017 - 00:00,,29.55,28.3,109.11,32.39,0.71
67,08-Mar-2017 - 00:00,09-Mar-2017 - 00:00,,25.34,17.65,55.24,29.07,0.7
68,09-Mar-2017 - 00:00,10-Mar-2017 - 00:00,,21.79,31.76,38.51,30.81,0.66
69,10-Mar-2017 - 00:00,11-Mar-2017 - 00:00,,20.76,17.43,55.45,20.38,0.48
70,11-Mar-2017 - 00:00,12-Mar-2017 - 00:00,,23.93,36.66,45.74,39.37,0.56
71,12-Mar-2017 - 00:00,13-Mar-2017 - 00:00,,29.18,15.17,82.15,31.75,0.71
72,13-Mar-2017 - 00:00,14-Mar-2017 - 00:00,,31.89,19.28,111.75,34.97,0.6
73,14-Mar-2017 - 00:00,15-Mar-2017 - 00:00,,32.99,23.89,128.18,44.92,0.85
74,15-Mar-2017 - 00:00,16-Mar-2017 - 00:00,,35.47,24.84,145.63,43.61,0.95
75,16-Mar-2017 - 00:00,17-Mar-2017 - 00:00,,37.77,36.06,138.8,41.2,0.77
76,17-Mar-2017 - 00:00,18-Mar-2017 - 00:00,,26.84,35.64,80.4,28.73,0.63
77,18-Mar-2017 - 00:00,19-Mar-2017 - 00:00,,30.62,14.65,61.71,18.87,0.69
78,19-Mar-2017 - 00:00,20-Mar-2017 - 00:00,,27.71,24.59,76.2,27.95,0.67
79,20-Mar-2017 - 00:00,21-Mar-2017 - 00:00,,31.17,23.29,63.69,29.32,0.68
80,21-Mar-2017 - 00:00,22-Mar-2017 - 00:00,,30.04,16.06,70.97,24.36,0.64
81,22-Mar-2017 - 00:00,23-Mar-2017 - 00:00,,25.93,15.81,72.15,21.34,0.61
82,23-Mar-2017 - 00:00,24-Mar-2017 - 00:00,,26.1,17.5,80.9,17.99,0.65
83,24-Mar-2017 - 00:00,25-Mar-2017 - 00:00,,26.24,19.02,81.32,14.94,0.73
84,25-Mar-2017 - 00:00,26-Mar-2017 - 00:00,,29.24,17.41,91.76,15.94,0.64
85,26-Mar-2017 - 00:00,27-Mar-2017 - 00:00,,27.13,11.17,94.26,13.52,0.65
86,27-Mar-2017 - 00:00,28-Mar-2017 - 00:00,,24.22,20.26,91.03,17.86,0.62
87,28-Mar-2017 - 00:00,29-Mar-2017 - 00:00,,22.34,12.07,60.54,12.24,0.53
88,29-Mar-2017 - 00:00,30-Mar-2017 - 00:00,,19.31,19.92,51.18,15.36,0.61
89,30-Mar-2017 - 00:00,31-Mar-2017 - 00:00,,14.09,14.98,36.99,11.32,0.67
90,31-Mar-2017 - 00:00,01-Apr-2017 - 00:00,,16.03,7.16,81.17,10.34,0.5
91,01-Apr-2017 - 00:00,02-Apr-2017 - 00:00,,20.05,11.43,51.65,10.49,0.58
92,02-Apr-2017 - 00:00,03-Apr-2017 - 00:00,,17.84,15.55,50.02,10.35,0.61
93,03-Apr-2017 - 00:00,04-Apr-2017 - 00:00,,29.3,21.48,65.04,15.3,0.61
94,04-Apr-2017 - 00:00,05-Apr-2017 - 00:00,,16.14,15.72,49.37,11.04,0.59
95,05-Apr-2017 - 00:00,06-Apr-2017 - 00:00,,17.09,17.92,36.92,12.28,0.6
96,06-Apr-2017 - 00:00,07-Apr-2017 - 00:00,,15.51,11.64,50.17,11.19,0.61
97,07-Apr-2017 - 00:00,08-Apr-2017 - 00:00,,19.81,20.09,42.63,12.64,0.67
98,08-Apr-2017 - 00:00,09-Apr-2017 - 00:00,,21.81,23.51,55.99,14.7,0.67
99,09-Apr-2017 - 00:00,10-Apr-2017 - 00:00,,21.89,16.42,49.18,12.92,0.63
,,,,,,,,
1,01-Jan-2017 - 00:00,02-Jan-2017 - 00:00,,,,,,
2,02-Jan-2017 - 00:00,03-Jan-2017 - 00:00,,,,,,
3,03-Jan-2017 - 00:00,04-Jan-2017 - 00:00,,,,,,
4,04-Jan-2017 - 00:00,05-Jan-2017 - 00:00,,,,,,
5,05-Jan-2017 - 00:00,06-Jan-2017 - 00:00,,,,,,
6,06-Jan-2017 - 00:00,07-Jan-2017 - 00:00,,,,,,
7,07-Jan-2017 - 00:00,08-Jan-2017 - 00:00,,,,,,
8,08-Jan-2017 - 00:00,09-Jan-2017 - 00:00,,,,,,
9,09-Jan-2017 - 00:00,10-Jan-2017 - 00:00,,,,,,
10,10-Jan-2017 - 00:00,11-Jan-2017 - 00:00,,,,,,
11,11-Jan-2017 - 00:00,12-Jan-2017 - 00:00,,,,,,
12,12-Jan-2017 - 00:00,13-Jan-2017 - 00:00,,,,,,
13,13-Jan-2017 - 00:00,14-Jan-2017 - 00:00,,,,,,
14,14-Jan-2017 - 00:00,15-Jan-2017 - 00:00,,,,,,
15,15-Jan-2017 - 00:00,16-Jan-2017 - 00:00,,,,,,
16,16-Jan-2017 - 00:00,17-Jan-2017 - 00:00,,,,,,
17,17-Jan-2017 - 00:00,18-Jan-2017 - 00:00,,,,,,
18,18-Jan-2017 - 00:00,19-Jan-2017 - 00:00,,,,,,
19,19-Jan-2017 - 00:00,20-Jan-2017 - 00:00,,,,,,
20,20-Jan-2017 - 00:00,21-Jan-2017 - 00:00,,,,,,
21,21-Jan-2017 - 00:00,22-Jan-2017 - 00:00,,,,,,
22,22-Jan-2017 - 00:00,23-Jan-2017 - 00:00,,,,,,
23,23-Jan-2017 - 00:00,24-Jan-2017 - 00:00,,,,,,
24,24-Jan-2017 - 00:00,25-Jan-2017 - 00:00,,,,,,
25,25-Jan-2017 - 00:00,26-Jan-2017 - 00:00,,,,,,
26,26-Jan-2017 - 00:00,27-Jan-2017 - 00:00,,,,,,
27,27-Jan-2017 - 00:00,28-Jan-2017 - 00:00,,,,,,
28,28-Jan-2017 - 00:00,29-Jan-2017 - 00:00,,,,,,
29,29-Jan-2017 - 00:00,30-Jan-2017 - 00:00,,,,,,
30,30-Jan-2017 - 00:00,31-Jan-2017 - 00:00,,28.84,34.97,132.88,55.46,0.59
31,31-Jan-2017 - 00:00,01-Feb-2017 - 00:00,,21.05,19.96,130.55,37.02,0.64
32,01-Feb-2017 - 00:00,02-Feb-2017 - 00:00,,20.0,27.16,148.46,15.84,0.89
33,02-Feb-2017 - 00:00,03-Feb-2017 - 00:00,,24.52,14.19,198.19,38.02,0.88
34,03-Feb-2017 - 00:00,04-Feb-2017 - 00:00,,22.26,17.67,181.87,54.62,0.75
35,04-Feb-2017 - 00:00,05-Feb-2017 - 00:00,,23.55,18.04,196.26,60.31,0.77
36,05-Feb-2017 - 00:00,06-Feb-2017 - 00:00,,21.81,18.1,171.3,48.98,0.78
37,06-Feb-2017 - 00:00,07-Feb-2017 - 00:00,,28.11,31.19,173.85,53.73,0.8
38,07-Feb-2017 - 00:00,08-Feb-2017 - 00:00,,114.32,19.57,172.48,51.42,0.81
39,08-Feb-2017 - 00:00,09-Feb-2017 - 00:00,,25.38,22.5,180.35,46.02,0.8
40,09-Feb-2017 - 00:00,10-Feb-2017 - 00:00,,166.01,39.99,192.32,48.43,0.8
41,10-Feb-2017 - 00:00,11-Feb-2017 - 00:00,,43.56,47.0,158.52,40.45,0.74
42,11-Feb-2017 - 00:00,12-Feb-2017 - 00:00,,102.3,25.77,174.01,44.47,0.81
43,12-Feb-2017 - 00:00,13-Feb-2017 - 00:00,,43.08,24.6,201.24,25.18,0.88
44,13-Feb-2017 - 00:00,14-Feb-2017 - 00:00,,45.42,33.93,223.51,57.98,1.02
