S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
972,30-Aug-2019 - 00:00,31-Aug-2019 - 00:00,15.33,24.46,1.83,26.51,23.17,0.37
973,31-Aug-2019 - 00:00,01-Sep-2019 - 00:00,14.77,24.88,2.6,29.29,19.09,0.33
974,01-Sep-2019 - 00:00,02-Sep-2019 - 00:00,22.06,22,2.23,42.89,25.08,0.48
975,02-Sep-2019 - 00:00,03-Sep-2019 - 00:00,10.32,19.01,1.91,23,23.79,0.42
976,03-Sep-2019 - 00:00,04-Sep-2019 - 00:00,8.43,22,2.89,15.31,22.7,0.39
977,04-Sep-2019 - 00:00,05-Sep-2019 - 00:00,7.14,13.74,2.17,17.52,11.47,0.28
978,05-Sep-2019 - 00:00,06-Sep-2019 - 00:00,8.57,23.61,2.34,20.07,18.04,0.35
979,06-Sep-2019 - 00:00,07-Sep-2019 - 00:00,7.63,23.22,2.4,17.41,20.53,0.33
980,07-Sep-2019 - 00:00,08-Sep-2019 - 00:00,6.89,19.84,2.31,19.31,21.6,0.38
981,08-Sep-2019 - 00:00,09-Sep-2019 - 00:00,9.55,18.86,2.05,19.55,22.8,0.36
982,09-Sep-2019 - 00:00,10-Sep-2019 - 00:00,8.13,31.74,2.56,24.96,20.11,0.3
983,10-Sep-2019 - 00:00,11-Sep-2019 - 00:00,14.56,35.13,3.37,31.69,13.95,0.31
984,11-Sep-2019 - 00:00,12-Sep-2019 - 00:00,12.14,20.86,3.03,26.36,23.38,0.38
985,12-Sep-2019 - 00:00,13-Sep-2019 - 00:00,13.14,14.75,3.3,24.18,23.79,0.39
986,13-Sep-2019 - 00:00,14-Sep-2019 - 00:00,12.52,24.27,3.32,28.83,20.06,0.33
987,14-Sep-2019 - 00:00,15-Sep-2019 - 00:00,15.63,39.63,3.57,36.55,19,0.31
988,15-Sep-2019 - 00:00,16-Sep-2019 - 00:00,19.73,46.9,5.73,38.32,14.83,0.27
989,16-Sep-2019 - 00:00,17-Sep-2019 - 00:00,16.01,28.32,4.47,34.01,15.07,0.33
990,17-Sep-2019 - 00:00,18-Sep-2019 - 00:00,16.46,16.94,3.81,32.19,14.03,0.35
991,18-Sep-2019 - 00:00,19-Sep-2019 - 00:00,12.22,18.17,4.28,23.44,14.48,0.36
992,19-Sep-2019 - 00:00,20-Sep-2019 - 00:00,8.25,15.7,3.84,17.75,13.4,0.29
993,20-Sep-2019 - 00:00,21-Sep-2019 - 00:00,13.39,17.94,4.47,33.02,31.64,0.53
994,21-Sep-2019 - 00:00,22-Sep-2019 - 00:00,20.96,20.73,5.51,45.06,28.1,0.51
995,22-Sep-2019 - 00:00,23-Sep-2019 - 00:00,16.38,30.81,4.19,29.84,20.02,0.44
996,23-Sep-2019 - 00:00,24-Sep-2019 - 00:00,10.15,27.81,4.24,23.97,17.49,0.4
997,24-Sep-2019 - 00:00,25-Sep-2019 - 00:00,10.56,13.29,3.97,24.2,15.83,0.29
998,25-Sep-2019 - 00:00,26-Sep-2019 - 00:00,10.19,10.24,4,16.26,18.44,0.44
999,26-Sep-2019 - 00:00,27-Sep-2019 - 00:00,11.37,18.88,3.91,19.67,23.3,0.48
1000,27-Sep-2019 - 00:00,28-Sep-2019 - 00:00,12.35,17.84,4.41,20.67,24.3,0.46
1001,28-Sep-2019 - 00:00,29-Sep-2019 - 00:00,17.13,12.34,4.43,27.99,22.62,0.49
1002,29-Sep-2019 - 00:00,30-Sep-2019 - 00:00,3.45,19.34,3.49,18.42,21.4,0.38
1003,30-Sep-2019 - 00:00,01-Oct-2019 - 00:00,2.89,17.93,3.8,19.27,20.37,0.37
1004,01-Oct-2019 - 00:00,02-Oct-2019 - 00:00,48.6,43.29,6.77,141.46,35.58,0.61
1005,02-Oct-2019 - 00:00,03-Oct-2019 - 00:00,65.34,43.55,5.25,306.69,33.48,0.61
1006,03-Oct-2019 - 00:00,04-Oct-2019 - 00:00,43.48,26.73,4.53,111.37,35.02,0.57
1007,04-Oct-2019 - 00:00,05-Oct-2019 - 00:00,33.78,45.61,5.85,89.35,20.99,0.43
1008,05-Oct-2019 - 00:00,06-Oct-2019 - 00:00,41.86,41.13,3.79,92.04,31.79,0.68
1009,06-Oct-2019 - 00:00,07-Oct-2019 - 00:00,50.41,30.65,3.83,117.88,27.13,0.52
1010,07-Oct-2019 - 00:00,08-Oct-2019 - 00:00,41.95,34.3,4.54,137.46,26.73,0.56
1011,08-Oct-2019 - 00:00,09-Oct-2019 - 00:00,27.27,26.88,3.93,111.11,23.68,0.52
1012,09-Oct-2019 - 00:00,10-Oct-2019 - 00:00,12.3,19.98,4.17,82.02,14.94,0.33
1013,10-Oct-2019 - 00:00,11-Oct-2019 - 00:00,25.63,20.09,4.79,163.41,24.94,0.78
1014,11-Oct-2019 - 00:00,12-Oct-2019 - 00:00,52.37,27.56,6.23,84.69,29.28,1
1015,12-Oct-2019 - 00:00,13-Oct-2019 - 00:00,54.6,47.01,4.32,76.64,31.02,1
1016,13-Oct-2019 - 00:00,14-Oct-2019 - 00:00,79.72,49.22,7.42,105.48,41.98,0.82
1017,14-Oct-2019 - 00:00,15-Oct-2019 - 00:00,84.66,63.15,7.71,104.84,43.21,0.67
1018,15-Oct-2019 - 00:00,16-Oct-2019 - 00:00,85.24,65.31,6.59,112.81,38.28,0.64
